"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 22:00:00 - 01/01/2024 22:15:00","BZN|FI","2110.80","1954.90","2475.20","2500.80"
"01/01/2024 22:15:00 - 01/01/2024 22:30:00","BZN|FI","2097.40","1921.40","2467.40","2495.40"
"01/01/2024 22:30:00 - 01/01/2024 22:45:00","BZN|FI","2085.00","1898.80","2454.20","2498.50"
"01/01/2024 22:45:00 - 01/01/2024 23:00:00","BZN|FI","2070.10","1883.90","2426.10","2472.30"
"01/01/2024 23:00:00 - 01/01/2024 23:15:00","BZN|FI","2050.00","1881.50","2455.40","2443.90"
"01/01/2024 23:15:00 - 01/01/2024 23:30:00","BZN|FI","2038.30","1875.80","2446.90","2409.40"
"01/01/2024 23:30:00 - 01/01/2024 23:45:00","BZN|FI","2032.50","1869.60","2432.20","2377.00"
"01/01/2024 23:45:00 - 02/01/2024 00:00:00","BZN|FI","2029.20","1867.00","2402.00","2343.20"
"02/01/2024 00:00:00 - 02/01/2024 00:15:00","BZN|FI","1900.00","2287.50","2372.70","2299.20"
"02/01/2024 00:15:00 - 02/01/2024 00:30:00","BZN|FI","1894.80","2269.50","2367.10","2260.30"
"02/01/2024 00:30:00 - 02/01/2024 00:45:00","BZN|FI","1886.50","2239.60","2357.50","2178.30"
"02/01/2024 00:45:00 - 02/01/2024 01:00:00","BZN|FI","1867.30","2173.60","2337.30","2092.90"
"02/01/2024 01:00:00 - 02/01/2024 01:15:00","BZN|FI","1831.60","2053.30","2280.90","2004.70"
"02/01/2024 01:15:00 - 02/01/2024 01:30:00","BZN|FI","1809.70","1975.60","2279.50","1933.90"
"02/01/2024 01:30:00 - 02/01/2024 01:45:00","BZN|FI","1795.80","1922.10","2276.10","1859.20"
"02/01/2024 01:45:00 - 02/01/2024 02:00:00","BZN|FI","1782.90","1869.50","2273.60","1798.00"
"02/01/2024 02:00:00 - 02/01/2024 02:15:00","BZN|FI","1773.30","1824.90","2219.70","1762.50"
"02/01/2024 02:15:00 - 02/01/2024 02:30:00","BZN|FI","1764.60","1783.80","2216.80","1720.70"
"02/01/2024 02:30:00 - 02/01/2024 02:45:00","BZN|FI","1756.20","1747.10","2210.60","1662.60"
"02/01/2024 02:45:00 - 02/01/2024 03:00:00","BZN|FI","1752.70","1715.60","2202.30","1619.40"
"02/01/2024 03:00:00 - 02/01/2024 03:15:00","BZN|FI","1756.90","1689.10","2046.30","1587.60"
"02/01/2024 03:15:00 - 02/01/2024 03:30:00","BZN|FI","1753.10","1668.20","2042.20","1548.60"
"02/01/2024 03:30:00 - 02/01/2024 03:45:00","BZN|FI","1745.20","1651.40","2034.40","1527.10"
"02/01/2024 03:45:00 - 02/01/2024 04:00:00","BZN|FI","1733.40","1644.30","2021.20","1523.70"
"02/01/2024 04:00:00 - 02/01/2024 04:15:00","BZN|FI","1713.90","1651.60","1862.50","1533.70"
"02/01/2024 04:15:00 - 02/01/2024 04:30:00","BZN|FI","1701.60","1649.40","1857.20","1529.00"
"02/01/2024 04:30:00 - 02/01/2024 04:45:00","BZN|FI","1692.40","1641.50","1847.40","1523.40"
"02/01/2024 04:45:00 - 02/01/2024 05:00:00","BZN|FI","1687.30","1635.90","1829.50","1526.10"
"02/01/2024 05:00:00 - 02/01/2024 05:15:00","BZN|FI","1690.60","1632.30","1692.10","1529.90"
"02/01/2024 05:15:00 - 02/01/2024 05:30:00","BZN|FI","1684.00","1623.70","1686.70","1520.60"
"02/01/2024 05:30:00 - 02/01/2024 05:45:00","BZN|FI","1671.80","1612.50","1677.70","1478.20"
"02/01/2024 05:45:00 - 02/01/2024 06:00:00","BZN|FI","1655.20","1595.50","1657.40","1466.00"
"02/01/2024 06:00:00 - 02/01/2024 06:15:00","BZN|FI","1630.40","1568.40","1593.90","1467.80"
"02/01/2024 06:15:00 - 02/01/2024 06:30:00","BZN|FI","1611.20","1551.60","1589.50","1484.20"
"02/01/2024 06:30:00 - 02/01/2024 06:45:00","BZN|FI","1595.10","1540.90","1582.70","1506.00"
"02/01/2024 06:45:00 - 02/01/2024 07:00:00","BZN|FI","1577.90","1532.70","1565.60","1525.20"
